date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:52	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d2431a6-d520b0c14e5005f6;gz%22	http://pointclock.online/robots.txt		(from )
13:29:52	51737/51737	---M-Z	200	added ('OK')	text/html	etag:%22132-1611307834;gz%22	http://pointclock.online/	C:/My%20Web%20Sites/Pointclock/pointclock.online/index.html	(from )
13:29:52	51433/51433	---M-Z	200	added ('OK')	text/css	etag:%22c8e9-60045858-5ea8f02a7d927c12;gz%22	http://pointclock.online/wp-includes/css/dist/block-library/style.min.css?ver=5.6	C:/My%20Web%20Sites/Pointclock/pointclock.online/wp-includes/css/dist/block-library/style.min40df.css	(from http://pointclock.online/)
13:29:53	2297/2297	---M-Z	200	added ('OK')	text/css	etag:%228f9-60045858-c56b010c39b61fa8;gz%22	http://pointclock.online/wp-includes/css/dist/block-library/theme.min.css?ver=5.6	C:/My%20Web%20Sites/Pointclock/pointclock.online/wp-includes/css/dist/block-library/theme.min40df.css	(from http://pointclock.online/)
13:30:12	16636/16636	---M-Z	200	added ('OK')	text/css	etag:%2240fc-6008f73e-836d8d5a23000826;gz%22	http://pointclock.online/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.9.1	C:/My%20Web%20Sites/Pointclock/pointclock.online/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min74e5.css	(from http://pointclock.online/)
13:30:14	1555/1555	---M-Z	200	added ('OK')	application/rss+xml	etag:%225c1f14013ef85df040383b77afeacf7e%22	http://pointclock.online/?feed=comments-rss2	C:/My%20Web%20Sites/Pointclock/pointclock.online/indexa6da.html	(from http://pointclock.online/)
13:30:14	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%224824-6008f73e-43ee4b8b114c60ed;gz%22	http://pointclock.online/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.0.16	C:/My%20Web%20Sites/Pointclock/pointclock.online/wp-content/plugins/elementor/assets/lib/animations/animations.min952b.css	(from http://pointclock.online/)
13:30:14	3855/3855	---M-Z	200	added ('OK')	text/css	etag:%22f0f-6008f742-b12d2e7220736e1f;gz%22	http://pointclock.online/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.0.16	C:/My%20Web%20Sites/Pointclock/pointclock.online/wp-content/plugins/elementor/assets/css/frontend-legacy.min952b.css	(from http://pointclock.online/)
13:30:14	112213/112213	---M-Z	200	added ('OK')	text/css	etag:%221b655-6008f742-91fa6a87b3556dd8;gz%22	http://pointclock.online/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.0.16	C:/My%20Web%20Sites/Pointclock/pointclock.online/wp-content/plugins/elementor/assets/css/frontend.min952b.css	(from http://pointclock.online/)
13:30:14	947/947	---M-Z	200	added ('OK')	text/css	etag:%223b3-6008fdc6-75ccd5cab29fe5cf;gz%22	http://pointclock.online/wp-content/uploads/elementor/css/post-19.css?ver=1611201990	C:/My%20Web%20Sites/Pointclock/pointclock.online/wp-content/uploads/elementor/css/post-19a943.css	(from http://pointclock.online/)
